Company,name,Description,Price
Cheeba Chews,Quad Dose,"70mg Sativa, Indica, Hybrid variety",$6 
Cheeba Chews,Deca Dose,175mg Hybrid,$12 
Cheeba Chews,High CBD,70mg 50mg CBD,$8
Cheeba Chews,Pure CBD,52mg 50mg CBD,$10
Cheeba Chews,Caramel,"100mg Caramel Indica, Sativa",$8
Cheeba Chews,Mint Chocolate Chew,"100mg Mint Indica, Sativa",$8
Cheeba Chews,Green Hornet,"70mg Indica, Sativa, Hybrid",$8
Incredibles,Blueberry Bliss,"White chocolate, flax crispies, and real blueberries with 100mg of activated hash oil.",$6
Incredibles,Boulder Bar,Two kinds of chocolate and house made toffee with 100mg of activated hash oil.,$6
Incredibles,Cookies and Creme,White chocolate and a lot of chocolate cookies along with 100mg of activated hash oil.,$6
Incredibles,Firecracker ,"Seasonal-White chocolate with red and blue exploding bits, plus 100mg of activated hash oil.",$7
Incredibles,Monkey Bar,"Two kinds of chocolate, coconut oil, toasted walnuts, and real bananas with 100mg of activated hash oil.",$6
Incredibles,Peach Dream,Creamy white chocolate packed with real peaches along with 100mg of activated hash oil.,$6
Incredibles,Strawberry Crunch,"White chocolate, real strawberries, flax crispies with 100mg of activated hash oil.",$6
Incredibles,Peanut Budda Buddha,"Peanut butter, white chocolate, and pretzels with 200mg of activated hash oil.",$8
Incredibles,Mile High Mint,Milk chocolate and spearmint with 175mg of activated hash oil.,$7
Incredibles,Mile Higher Mint,Milk chocolate and peppermint with 300mg of activated hash oil.,$10
Incredibles,Fire Berry,"Special, sweet dark chocolate, roasted habanero peppers, and real raspberries with 300mg of activated hash oil.",$10
Incredibles,Mikiba,Protein-packed superfood bar with 10 nuts and seeds infused with 30mg THC and 10mg CBD,$8
Sweet Grass,brownie,N/A,N/A
Edipure,candy,N/A,N/A
Gaias Garden,brownie,N/A,N/A
Bhang ,candy,N/A,N/A
Wana,candy,N/A,N/A
Mountain High,candy,N/A,N/A
Twirling Hippy Confections,confection candy,N/A,N/A
Colorado Wholesale Distribution,brownie,N/A,N/A
Tincture Belle,tincture,N/A,N/A
