Company,Description,Phone,Email,Premium
Cheeba Chews,"""America's favorite edible""",513-470-8492,none@example.com,FALSE
Incredibles,Cannabis Infused Chocolate ,303-623-6060,none@example.com,FALSE
Tincture Belle,"Handcrafted Tincture, Edibles, and Topicals",719-375-1031,none@example.com,
The Growing Kitchen,Boulder edible company,303-578-8454,none@example.com,
Wana,Infused candies,855-668-3342,none@example.com,
Mountain High,High CBD candies,855-668-3342,none@example.com,
Colorado Cannabis Co,Assorted Cannabis infused products,303-534-7875,none@example.com,
Edipure,Cannabis infused Gourmet Candies,720-935-7667,none@example.com,TRUE
Colorado Wholesale Distribution,Wholesale edible company,303-532-6901,none@example.com,
Twirling Hippy Confections,Gourmet Savory edibles,303-922-3661,none@example.com,
Boulder Botanics,Medical and Recreational Dispensary,720-379-6046,none@example.com,
Flower Power,Medical and Recreational Dispensary,970-672-8165,none@example.com,
Good Chemistry,Medical and Recreational Dispensary,720-626-7217,none@example.com,
Craft Concentrates,Concentrate Company,303-916-6355,none@example.com,
Bhang ,Edible Company,no phone,none@example.com,
Sweet Grass,Edible Company,303-284-6476,none@example.com,
Gaias Garden,Edible Company,no phone,none@example.com,
Alpenglo,Recreational Dispensary,970-389-6839,none@example.com,
Lab 710,Concentrate Company,no phone,none@example.com,
Colorado Concentrates,Concentrate Company,no phone,none@example.com,
MMRockies,Medical Dispensary,no phone,none@example.com,
Green Dot,Concentrate Company,no phone,none@example.com,
Mahatma Concentrates,Concentrate Company,720-763-4151 ,info@mahatmaconcentrates.com,
